coautor;posts;avg_comments;avg_views;avg_engagement_rate;avg_discussion_index;avg_qualified_comment_rate
ufsm.br;18;87.33333333333333;225.5;16.517475369363765;0.0365079365079365;0.2312358276643991
silveirapodrao;10;414.5;958.5;36.9673645791207;0.0;0.30972222222222223
zeloufsm;8;464.625;958.5;36.9673645791207;0.0;0.3246527777777778
extensaoufsm;5;216.0;458.3333333333333;31.760674200078824;0.027777777777777776;0.22569444444444445
radiosufsm;4;66.25;437.5;16.34349593495935;0.027777777777777776;0.5152777777777778
ufsmpm;2;4.5;14.0;0.42857142857142855;0.0;0.5714285714285714
citurdes;1;4.0;9.0;0.3333333333333333;0.0;0.25
centrodeconvencoes.ufsm;1;0.0;87.0;1.4827586206896552;;
dce.ufsm;1;8.0;;;0.0;0.25
dag_ufsm;1;1.0;14.0;0.0;0.0;0.0
gabinetereitoriaufsm;1;767.0;1329.0;38.402558314522196;0.0;0.125
fazendoarteufsm;1;4.0;;;0.0;0.75
prpgpufsm;1;1.0;;;0.0;0.0
praeufsm;1;6.0;186.0;2.3118279569892475;0.0;0.3333333333333333
neabi.ufsm;1;13.0;14.0;18.785714285714285;0.1111111111111111;0.1111111111111111
jtybusch;1;51.0;;;0.4;0.4
hubisufsm;1;0.0;;;;
tvcampusufsm;1;6.0;186.0;2.3118279569892475;0.0;0.3333333333333333
ufsmfw;1;2.0;;;0.0;1.0
ufsmcachoeiradosul;1;2.0;;;0.0;1.0
