texto_comentario;owner_username;timestamp;replies;likescount;shortcode;owner_username_norm;comment_timestamp;word_count;is_qualified;is_question;sentiment_label;sentiment_score;emotion_label;replies_list;replies_total;reply_depth_max;post_timestamp;delay_hours;delay_hour_bucket;is_verified
"""cara esse mulher não desisti""  o pensamento intrusivo do Silveira 😂😂😂😂😂😂😂";elisangelapessoa46;2025-07-07 01:35:18+00:00;[];1;DJ2nlbTpv68;elisangelapessoa46;2025-07-06 22:35:18-03:00;10;True;False;neutro;0;neutra;[];0;0;2025-05-19 20:27:17-03:00;1154.1336111111111;1154;False
Gente deixa ele em paz tadinho 😅 deu pra perceber que ele está desconfortável pela linguagem corporal;ajuliabicalho;2025-05-29 12:35:03+00:00;[];0;DJ2nlbTpv68;ajuliabicalho;2025-05-29 09:35:03-03:00;16;True;False;neutro;0;neutra;[];0;0;2025-05-19 20:27:17-03:00;229.12944444444443;229;False
Não tenho paciência com quem está começando;positivamentemorbido;2025-05-28 23:04:30+00:00;[];0;DJ2nlbTpv68;positivamentemorbido;2025-05-28 20:04:30-03:00;7;True;True;neutro;0;neutra;[];0;0;2025-05-19 20:27:17-03:00;215.62027777777777;215;False
ele é muito simpático! só é do jeitinho dele...;pedro.refe;2025-05-27 15:43:39+00:00;[];1;DJ2nlbTpv68;pedro.refe;2025-05-27 12:43:39-03:00;9;True;False;neutro;0;neutra;[];0;0;2025-05-19 20:27:17-03:00;184.27277777777778;184;False
Um saco, ninguém me deixa mais dormir em paz nessa faculdade poxa!😂😂;namaste.com_;2025-05-26 21:52:12+00:00;[];1;DJ2nlbTpv68;namaste.com_;2025-05-26 18:52:12-03:00;12;True;False;neutro;0;neutra;[];0;0;2025-05-19 20:27:17-03:00;166.4152777777778;166;True
@elisangelapessoa46 😂;ateliefogo;2025-07-19 17:48:33+00:00;[];0;DJ2nlbTpv68;ateliefogo;2025-07-19 14:48:33-03:00;1;False;False;neutro;0;neutra;[];0;0;2025-05-19 20:27:17-03:00;1458.3544444444444;1458;False
alguém que remova enxame em cidades da região? Sou de Paraíso do Sul e tem um enxame na caixa do forro do meu quarto (fácil remoção). O forro é baixo e fica em local de circulação da casa.;robertakt;2025-05-21 00:59:33+00:00;"[{""id"": ""18356692771177643"", ""text"": ""@robertakt entra em contato com a Apismar de Santa Maria que eles podem te ajudar 😉"", ""ownerUsername"": ""m_silvia_de_oliveira"", ""ownerProfilePicUrl"": ""https://scontent-ord5-1.cdninstagram.com/v/t51.2885-19/424428152_1428401134700627_8239469392794303018_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43NjguYzIifQ&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=efCT2fKXEFoQ7kNvwGj7iUt&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2azHF-gIE1LlCmFlrt5XNkATb4t7KwrroxRH8b3edZrg&oe=69E95D48&_nc_sid=10d13b"", ""timestamp"": ""2025-05-21T14:06:24.000Z"", ""repliesCount"": 0, ""replies"": [], ""likesCount"": 0, ""owner"": {""id"": ""48014476183"", ""is_verified"": false, ""profile_pic_url"": ""https://scontent-ord5-1.cdninstagram.com/v/t51.2885-19/424428152_1428401134700627_8239469392794303018_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43NjguYzIifQ&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=efCT2fKXEFoQ7kNvwGj7iUt&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2azHF-gIE1LlCmFlrt5XNkATb4t7KwrroxRH8b3edZrg&oe=69E95D48&_nc_sid=10d13b"", ""username"": ""m_silvia_de_oliveira""}}, {""id"": ""18035295143643680"", ""text"": ""@m_silvia_de_oliveira ta bem! Obrigada!!"", ""ownerUsername"": ""robertakt"", ""ownerProfilePicUrl"": ""https://scontent-ord5-2.cdninstagram.com/v/t51.82787-19/658154824_18575438500052536_8984032144583782899_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=A87vLqjQt-cQ7kNvwH_PfjI&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3V9XQ-_Ny_GSJRFItpji6nd__D2P5k1l8w9JQXBsXBYQ&oe=69E961B4&_nc_sid=10d13b"", ""timestamp"": ""2025-05-21T14:12:37.000Z"", ""repliesCount"": 0, ""replies"": [], ""likesCount"": 1, ""owner"": {""id"": ""462772535"", ""is_verified"": false, ""profile_pic_url"": ""https://scontent-ord5-2.cdninstagram.com/v/t51.82787-19/658154824_18575438500052536_8984032144583782899_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=A87vLqjQt-cQ7kNvwH_PfjI&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3V9XQ-_Ny_GSJRFItpji6nd__D2P5k1l8w9JQXBsXBYQ&oe=69E961B4&_nc_sid=10d13b"", ""username"": ""robertakt""}}]";0;DJ48NUpJ544;robertakt;2025-05-20 21:59:33-03:00;38;True;True;neutro;0;duvida;[{'id': '18356692771177643', 'text': '@robertakt entra em contato com a Apismar de Santa Maria que eles podem te ajudar 😉', 'ownerUsername': 'm_silvia_de_oliveira', 'ownerProfilePicUrl': 'https://scontent-ord5-1.cdninstagram.com/v/t51.2885-19/424428152_1428401134700627_8239469392794303018_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43NjguYzIifQ&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=efCT2fKXEFoQ7kNvwGj7iUt&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2azHF-gIE1LlCmFlrt5XNkATb4t7KwrroxRH8b3edZrg&oe=69E95D48&_nc_sid=10d13b', 'timestamp': '2025-05-21T14:06:24.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 0, 'owner': {'id': '48014476183', 'is_verified': False, 'profile_pic_url': 'https://scontent-ord5-1.cdninstagram.com/v/t51.2885-19/424428152_1428401134700627_8239469392794303018_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43NjguYzIifQ&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=efCT2fKXEFoQ7kNvwGj7iUt&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af2azHF-gIE1LlCmFlrt5XNkATb4t7KwrroxRH8b3edZrg&oe=69E95D48&_nc_sid=10d13b', 'username': 'm_silvia_de_oliveira'}}, {'id': '18035295143643680', 'text': '@m_silvia_de_oliveira ta bem! Obrigada!!', 'ownerUsername': 'robertakt', 'ownerProfilePicUrl': 'https://scontent-ord5-2.cdninstagram.com/v/t51.82787-19/658154824_18575438500052536_8984032144583782899_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=A87vLqjQt-cQ7kNvwH_PfjI&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3V9XQ-_Ny_GSJRFItpji6nd__D2P5k1l8w9JQXBsXBYQ&oe=69E961B4&_nc_sid=10d13b', 'timestamp': '2025-05-21T14:12:37.000Z', 'repliesCount': 0, 'replies': [], 'likesCount': 1, 'owner': {'id': '462772535', 'is_verified': False, 'profile_pic_url': 'https://scontent-ord5-2.cdninstagram.com/v/t51.82787-19/658154824_18575438500052536_8984032144583782899_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2gFjMgY6MP32bIuy1lqBn7sVZx-0OGx5eKLNEfbQw4sTqVRCc4RMHKGeNt0fiKxMl8U&_nc_ohc=A87vLqjQt-cQ7kNvwH_PfjI&_nc_gid=opew1hwa719JLKWZEkQezQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Af3V9XQ-_Ny_GSJRFItpji6nd__D2P5k1l8w9JQXBsXBYQ&oe=69E961B4&_nc_sid=10d13b', 'username': 'robertakt'}}];2;1;2025-05-20 20:00:00-03:00;1.9925;1;False
👏👏👏👏👏;mathias_ilnicki;2025-05-20 23:40:39+00:00;[];0;DJ48NUpJ544;mathias_ilnicki;2025-05-20 20:40:39-03:00;0;False;False;neutro;0;neutra;[];0;0;2025-05-20 20:00:00-03:00;0.6775;0;False
👏👏🐝;victor_souzas1;2025-05-20 23:31:39+00:00;[];0;DJ48NUpJ544;victor_souzas1;2025-05-20 20:31:39-03:00;0;False;False;neutro;0;neutra;[];0;0;2025-05-20 20:00:00-03:00;0.5275;0;False
👏👏👏;ffmeliponario;2025-05-20 23:18:18+00:00;[];0;DJ48NUpJ544;ffmeliponario;2025-05-20 20:18:18-03:00;0;False;False;neutro;0;neutra;[];0;0;2025-05-20 20:00:00-03:00;0.305;0;False
