shortcode;has_post;has_comments;has_owners;post_file;comments_file;owners_file;post_columns;comments_columns;owners_columns
DJ1_MTEuA-i;True;False;False;data\DJ1_MTEuA-i\post_DJ1_MTEuA-i.xlsx;;;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;;
DJ1oIOktsNX;True;False;False;data\DJ1oIOktsNX\post_DJ1oIOktsNX.xlsx;;;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;;
DJ2nlbTpv68;True;True;True;data\DJ2nlbTpv68\post_DJ2nlbTpv68.xlsx;data\DJ2nlbTpv68\comments_DJ2nlbTpv68.xlsx;data\DJ2nlbTpv68\commentOwner_DJ2nlbTpv68.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
DJ48NUpJ544;True;True;True;data\DJ48NUpJ544\post_DJ48NUpJ544.xlsx;data\DJ48NUpJ544\comments_DJ48NUpJ544.xlsx;data\DJ48NUpJ544\commentOwner_DJ48NUpJ544.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
DJ4ofY6Jf56;True;True;True;data\DJ4ofY6Jf56\post_DJ4ofY6Jf56.xlsx;data\DJ4ofY6Jf56\comments_DJ4ofY6Jf56.xlsx;data\DJ4ofY6Jf56\commentOwner_DJ4ofY6Jf56.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
DJ4xlSdy-3m;True;True;True;data\DJ4xlSdy-3m\post_DJ4xlSdy-3m.xlsx;data\DJ4xlSdy-3m\comments_DJ4xlSdy-3m.xlsx;data\DJ4xlSdy-3m\commentOwner_DJ4xlSdy-3m.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
DJ5AkVwJLXy;True;True;True;data\DJ5AkVwJLXy\post_DJ5AkVwJLXy.xlsx;data\DJ5AkVwJLXy\comments_DJ5AkVwJLXy.xlsx;data\DJ5AkVwJLXy\commentOwner_DJ5AkVwJLXy.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
DJ5J9TCJBVJ;True;True;True;data\DJ5J9TCJBVJ\post_DJ5J9TCJBVJ.xlsx;data\DJ5J9TCJBVJ\comments_DJ5J9TCJBVJ.xlsx;data\DJ5J9TCJBVJ\commentOwner_DJ5J9TCJBVJ.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
DJ630KnRcyp;True;True;True;data\DJ630KnRcyp\post_DJ630KnRcyp.xlsx;data\DJ630KnRcyp\comments_DJ630KnRcyp.xlsx;data\DJ630KnRcyp\commentOwner_DJ630KnRcyp.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
DJ6unk6RCfx;True;True;True;data\DJ6unk6RCfx\post_DJ6unk6RCfx.xlsx;data\DJ6unk6RCfx\comments_DJ6unk6RCfx.xlsx;data\DJ6unk6RCfx\commentOwner_DJ6unk6RCfx.xlsx;legenda_post | coautores | num_comentarios | hashtags | comentarios_habilitados | num_likes | mencoes | nome_owner | timestamp | tipo | url | visualizacoes | duracao_video | localizacao;texto_comentario | owner_username | timestamp | replies | likescount;owner_id | owner_username | is_verified | profile_pic_url
