feature;metric;n_with;n_without;with_feature;without_feature;lift_pct
has_hashtags;num_likes;18;9;10261.388888888889;12758.888888888889;-19.574588522163197
has_hashtags;num_comentarios;18;9;148.88888888888889;178.55555555555554;-16.61481020535158
has_hashtags;visualizacoes;18;9;619.875;229.6;169.9804006968641
has_hashtags;engagement_rate;18;9;23.89474490416156;18.41643677334594;29.74684081528931
has_hashtags;discussion_index;18;9;0.02222222222222222;0.05;-55.55555555555556
has_hashtags;qualified_comment_rate;18;9;0.3383333333333333;0.3310515873015873;2.1995804614923573
has_hashtags;community_index;18;9;0.07685185185185185;0.1597222222222222;-51.884057971014485
has_hashtags;new_commenter_share;18;9;0.9711111111111111;0.8958333333333333;8.403100775193812
has_mentions;num_likes;13;14;20194.384615384617;2643.4285714285716;663.9466726528983
has_mentions;num_comentarios;13;14;283.6923076923077;42.785714285714285;563.0538076280981
has_mentions;visualizacoes;13;14;627.4444444444445;115.0;445.6038647342996
has_mentions;engagement_rate;13;14;18.987454945060538;28.08826214861933;-32.40074859528516
has_mentions;discussion_index;13;14;0.0;0.06666666666666667;-100.0
has_mentions;qualified_comment_rate;13;14;0.33528439153439155;0.33636363636363636;-0.3208565708565677
has_mentions;community_index;13;14;0.11458333333333333;0.09595959595959597;19.407894736842092
has_mentions;new_commenter_share;13;14;0.9546296296296296;0.9343434343434344;2.1711711711711663
has_coauthors;num_likes;25;2;11954.16;340.5;3410.7665198237883
has_coauthors;num_comentarios;25;2;171.08;5.0;3321.6
has_coauthors;visualizacoes;25;2;469.7692307692308;;
has_coauthors;engagement_rate;25;2;21.787703315386317;;
has_coauthors;discussion_index;25;2;0.024338624338624337;0.1111111111111111;-78.0952380952381
has_coauthors;qualified_comment_rate;25;2;0.3095804988662132;0.6111111111111112;-49.34137291280148
has_coauthors;community_index;25;2;0.11574074074074073;0.0;
has_coauthors;new_commenter_share;25;2;0.9396825396825397;1.0;-6.0317460317460325
has_location;num_likes;14;13;17386.214285714286;4317.538461538462;302.688115939078
has_location;num_comentarios;14;13;220.35714285714286;92.46153846153847;138.32303304017114
has_location;visualizacoes;14;13;838.6;239.25;250.5120167189133
has_location;engagement_rate;14;13;34.496957304605864;13.844419572124101;149.175901704582
has_location;discussion_index;14;13;0.05185185185185185;0.0101010101010101;413.33333333333326
has_location;qualified_comment_rate;14;13;0.4024140211640212;0.26313131313131316;52.9327757974591
has_location;community_index;14;13;0.13541666666666666;0.07323232323232323;84.91379310344827
has_location;new_commenter_share;14;13;0.9305555555555555;0.9606060606060606;-3.1282860147213514
has_cta;num_likes;5;22;13574.4;10530.136363636364;28.91001152536227
has_cta;num_comentarios;5;22;147.4;161.36363636363637;-8.653521126760566
has_cta;visualizacoes;5;22;;469.7692307692308;
has_cta;engagement_rate;5;22;;21.78770331538632;
has_cta;discussion_index;5;22;0.15555555555555556;0.005847953216374269;2560.0
has_cta;qualified_comment_rate;5;22;0.27361111111111114;0.34889306599832914;-21.577372044298105
has_cta;community_index;5;22;0.027777777777777776;0.12207602339181288;-77.24550898203594
has_cta;new_commenter_share;5;22;1.0;0.9333333333333332;7.142857142857154
