hashtag_a;hashtag_b;coocorrencias;posts;avg_comments;avg_engagement_rate
#silveira;#ufsm;5;5;467.4;32.99166674764724
#ufsm;#ufsmdaquiparaomundo;4;4;507.5;39.355129802128175
#souufsm;#ufsm;4;4;5.0;1.1559139784946237
#silveira;#ufsmdaquiparaomundo;3;3;676.3333333333334;39.355129802128175
#extensãouniversitária;#ufsm;2;2;0.0;
#silveiraufsm;#ufsm;2;2;599.5;37.519036166606895
#silveiraufsm;#ufsmdaquiparaomundo;2;2;599.5;37.519036166606895
#silveira;#silveiraufsm;2;2;599.5;37.519036166606895
#antigareitoria;#vivaocampus;1;1;0.0;
#antigareitoria;#culturaufsm;1;1;0.0;
#antigareitoria;#ufsm;1;1;0.0;
#antigareitoria;#extensãouniversitária;1;1;0.0;
#carijo38anos;#extensãouniversitária;1;1;0.0;
#carijo38anos;#culturagaúcha;1;1;0.0;
#ufsm;#vivaocampus;1;1;0.0;
#extensãouniversitária;#vivaocampus;1;1;0.0;
#culturaufsm;#vivaocampus;1;1;0.0;
#culturaufsm;#ufsm;1;1;0.0;
#culturaufsm;#extensãouniversitária;1;1;0.0;
#carijo38anos;#músicanativista;1;1;0.0;
#culturagaúcha;#orquestrasinfônicaufsm;1;1;0.0;
#carijo38anos;#orquestrasinfônicaufsm;1;1;0.0;
#carijo38anos;#palmeiradamissões;1;1;0.0;
#carijo38anos;#ufsm;1;1;0.0;
#carijo38anos;#ufsmempalmeira;1;1;0.0;
#carijo38anos;#ufsmnacomunidade;1;1;0.0;
#culturagaúcha;#extensãouniversitária;1;1;0.0;
#culturagaúcha;#músicanativista;1;1;0.0;
#extensãouniversitária;#ufsmempalmeira;1;1;0.0;
#extensãouniversitária;#ufsmnacomunidade;1;1;0.0;
#músicanativista;#orquestrasinfônicaufsm;1;1;0.0;
#músicanativista;#palmeiradamissões;1;1;0.0;
#músicanativista;#ufsm;1;1;0.0;
#músicanativista;#ufsmempalmeira;1;1;0.0;
#músicanativista;#ufsmnacomunidade;1;1;0.0;
#orquestrasinfônicaufsm;#palmeiradamissões;1;1;0.0;
#orquestrasinfônicaufsm;#ufsm;1;1;0.0;
#culturagaúcha;#palmeiradamissões;1;1;0.0;
#culturagaúcha;#ufsm;1;1;0.0;
#culturagaúcha;#ufsmempalmeira;1;1;0.0;
#culturagaúcha;#ufsmnacomunidade;1;1;0.0;
#extensãouniversitária;#músicanativista;1;1;0.0;
#extensãouniversitária;#orquestrasinfônicaufsm;1;1;0.0;
#extensãouniversitária;#palmeiradamissões;1;1;0.0;
#ufsm;#ufsmnacomunidade;1;1;0.0;
#ufsm;#ufsmempalmeira;1;1;0.0;
#palmeiradamissões;#ufsmnacomunidade;1;1;0.0;
#palmeiradamissões;#ufsmempalmeira;1;1;0.0;
#palmeiradamissões;#ufsm;1;1;0.0;
#orquestrasinfônicaufsm;#ufsmnacomunidade;1;1;0.0;
#orquestrasinfônicaufsm;#ufsmempalmeira;1;1;0.0;
#ufsmempalmeira;#ufsmnacomunidade;1;1;0.0;
#abelhas;#polinização;1;1;9.0;
#abelhas;#souufsm;1;1;9.0;
#abelhas;#ufsm;1;1;9.0;
#biodiversidade;#polinização;1;1;9.0;
#cães;#ufsmdaquiparaomundo;1;1;830.0;43.02731707317073
#cães;#ufsm;1;1;830.0;43.02731707317073
#cães;#silveira;1;1;830.0;43.02731707317073
#abelhas;#biodiversidade;1;1;9.0;
#polinização;#ufsm;1;1;9.0;
#polinização;#souufsm;1;1;9.0;
#biodiversidade;#ufsm;1;1;9.0;
#biodiversidade;#souufsm;1;1;9.0;
#ru;#silveira;1;1;62.0;
#restauranteuniversitario;#ru;1;1;62.0;
#restauranteuniversitario;#silveira;1;1;62.0;
#restauranteuniversitario;#ufsm;1;1;62.0;
#cão;#silveiraufsm;1;1;767.0;38.402558314522196
#cão;#silveira;1;1;767.0;38.402558314522196
#ru;#ufsm;1;1;62.0;
#cão;#ufsmdaquiparaomundo;1;1;767.0;38.402558314522196
#cão;#ufsm;1;1;767.0;38.402558314522196
#eleiçõesufsm2025;#reitoriaufsm;1;1;1.0;
#eleiçõesufsm2025;#ufsm;1;1;1.0;
#reitoriaufsm;#ufsm;1;1;1.0;
#doutorado;#especialização;1;1;1.0;
#doutorado;#mestrado;1;1;1.0;
#doutorado;#posgraduacao;1;1;1.0;
#doutorado;#ufsm;1;1;1.0;
#doutorado;#ufsmdaquiparaomundo;1;1;1.0;
#especialização;#mestrado;1;1;1.0;
#especialização;#posgraduacao;1;1;1.0;
#especialização;#ufsm;1;1;1.0;
#especialização;#ufsmdaquiparaomundo;1;1;1.0;
#mestrado;#posgraduacao;1;1;1.0;
#mestrado;#ufsm;1;1;1.0;
#mestrado;#ufsmdaquiparaomundo;1;1;1.0;
#posgraduacao;#ufsm;1;1;1.0;
#posgraduacao;#ufsmdaquiparaomundo;1;1;1.0;
#silveira;#silveirapodrao;1;1;432.0;36.63551401869159
#silveirapodrao;#silveiraufsm;1;1;432.0;36.63551401869159
#silveirapodrao;#ufsm;1;1;432.0;36.63551401869159
#silveirapodrao;#ufsmdaquiparaomundo;1;1;432.0;36.63551401869159
#conexoesquetransformam;#extensãoufsm;1;1;8.0;
#conexoesquetransformam;#extensãouniversitária;1;1;8.0;
#conexoesquetransformam;#guiadaextensão;1;1;8.0;
#conexoesquetransformam;#pre50anos;1;1;8.0;
#conexoesquetransformam;#universidadepública;1;1;8.0;
#extensãoufsm;#extensãouniversitária;1;1;8.0;
#extensãoufsm;#guiadaextensão;1;1;8.0;
#extensãoufsm;#pre50anos;1;1;8.0;
#extensãoufsm;#universidadepública;1;1;8.0;
#extensãouniversitária;#guiadaextensão;1;1;8.0;
#extensãouniversitária;#pre50anos;1;1;8.0;
#extensãouniversitária;#universidadepública;1;1;8.0;
#guiadaextensão;#pre50anos;1;1;8.0;
#guiadaextensão;#universidadepública;1;1;8.0;
#pre50anos;#universidadepública;1;1;8.0;
#afederaldasaúde;#silveirapodrão;1;1;265.0;
#agendacultural;#cultura;1;1;4.0;
#agendacultural;#espetáculos,;1;1;4.0;
#agendacultural;#eventos;1;1;4.0;
#agendacultural;#festas;1;1;4.0;
#agendacultural;#santamaria;1;1;4.0;
#agendacultural;#santamariars;1;1;4.0;
#agendacultural;#souufsm;1;1;4.0;
#agendacultural;#ufsm;1;1;4.0;
#cultura;#espetáculos,;1;1;4.0;
#cultura;#eventos;1;1;4.0;
#cultura;#festas;1;1;4.0;
#cultura;#santamaria;1;1;4.0;
#cultura;#santamariars;1;1;4.0;
#cultura;#souufsm;1;1;4.0;
#cultura;#ufsm;1;1;4.0;
#espetáculos,;#eventos;1;1;4.0;
#espetáculos,;#festas;1;1;4.0;
#espetáculos,;#santamaria;1;1;4.0;
#espetáculos,;#santamariars;1;1;4.0;
#espetáculos,;#souufsm;1;1;4.0;
#espetáculos,;#ufsm;1;1;4.0;
#eventos;#festas;1;1;4.0;
#eventos;#santamaria;1;1;4.0;
#eventos;#santamariars;1;1;4.0;
#eventos;#souufsm;1;1;4.0;
#eventos;#ufsm;1;1;4.0;
#festas;#santamaria;1;1;4.0;
#festas;#santamariars;1;1;4.0;
#festas;#souufsm;1;1;4.0;
#festas;#ufsm;1;1;4.0;
#santamaria;#santamariars;1;1;4.0;
#santamaria;#souufsm;1;1;4.0;
#santamaria;#ufsm;1;1;4.0;
#santamariars;#souufsm;1;1;4.0;
#santamariars;#ufsm;1;1;4.0;
#conscienciaafricana;#diadaafrica;1;1;13.0;18.785714285714285
#conscienciaafricana;#direitoshumanos;1;1;13.0;18.785714285714285
#conscienciaafricana;#diversidadecultural;1;1;13.0;18.785714285714285
#conscienciaafricana;#odhufsm;1;1;13.0;18.785714285714285
#conscienciaafricana;#ufsm;1;1;13.0;18.785714285714285
#diadaafrica;#direitoshumanos;1;1;13.0;18.785714285714285
#diadaafrica;#diversidadecultural;1;1;13.0;18.785714285714285
#diadaafrica;#odhufsm;1;1;13.0;18.785714285714285
#diadaafrica;#ufsm;1;1;13.0;18.785714285714285
#direitoshumanos;#diversidadecultural;1;1;13.0;18.785714285714285
#direitoshumanos;#odhufsm;1;1;13.0;18.785714285714285
#direitoshumanos;#ufsm;1;1;13.0;18.785714285714285
#diversidadecultural;#odhufsm;1;1;13.0;18.785714285714285
#diversidadecultural;#ufsm;1;1;13.0;18.785714285714285
#odhufsm;#ufsm;1;1;13.0;18.785714285714285
#restauranteuniversitário;#ruufsm;1;1;6.0;2.3118279569892475
#restauranteuniversitário;#souufsm;1;1;6.0;2.3118279569892475
#restauranteuniversitário;#ufsm;1;1;6.0;2.3118279569892475
#ruufsm;#souufsm;1;1;6.0;2.3118279569892475
#ruufsm;#ufsm;1;1;6.0;2.3118279569892475
#doutoradoufsm;#editalaberto;1;1;0.0;
#doutoradoufsm;#inglêsacadêmico;1;1;0.0;
#doutoradoufsm;#internacionalização;1;1;0.0;
#doutoradoufsm;#mobilidadeacadêmica;1;1;0.0;
#doutoradoufsm;#oportunidadeufsm;1;1;0.0;
#doutoradoufsm;#toefl;1;1;0.0;
#doutoradoufsm;#ufsm;1;1;0.0;
#editalaberto;#inglêsacadêmico;1;1;0.0;
#editalaberto;#internacionalização;1;1;0.0;
#editalaberto;#mobilidadeacadêmica;1;1;0.0;
#editalaberto;#oportunidadeufsm;1;1;0.0;
#editalaberto;#toefl;1;1;0.0;
#editalaberto;#ufsm;1;1;0.0;
#inglêsacadêmico;#internacionalização;1;1;0.0;
#inglêsacadêmico;#mobilidadeacadêmica;1;1;0.0;
#inglêsacadêmico;#oportunidadeufsm;1;1;0.0;
#inglêsacadêmico;#toefl;1;1;0.0;
#inglêsacadêmico;#ufsm;1;1;0.0;
#internacionalização;#mobilidadeacadêmica;1;1;0.0;
#internacionalização;#oportunidadeufsm;1;1;0.0;
#internacionalização;#toefl;1;1;0.0;
#internacionalização;#ufsm;1;1;0.0;
#mobilidadeacadêmica;#oportunidadeufsm;1;1;0.0;
#mobilidadeacadêmica;#toefl;1;1;0.0;
#mobilidadeacadêmica;#ufsm;1;1;0.0;
#oportunidadeufsm;#toefl;1;1;0.0;
#oportunidadeufsm;#ufsm;1;1;0.0;
#toefl;#ufsm;1;1;0.0;
#cinema;#souufsm;1;1;1.0;0.0
#cinema;#ufsm;1;1;1.0;0.0
#fazendoarte;#rádiosufsm;1;1;246.0;13.901277584204413
#fazendoarte;#silveira;1;1;246.0;13.901277584204413
#fazendoarte;#ufsm;1;1;246.0;13.901277584204413
#fazendoarte;#zeloufsm;1;1;246.0;13.901277584204413
#rádiosufsm;#silveira;1;1;246.0;13.901277584204413
#rádiosufsm;#ufsm;1;1;246.0;13.901277584204413
#rádiosufsm;#zeloufsm;1;1;246.0;13.901277584204413
#silveira;#zeloufsm;1;1;246.0;13.901277584204413
#ufsm;#zeloufsm;1;1;246.0;13.901277584204413
