hashtag;posts;avg_likes;avg_comments;avg_views;avg_engagement_rate;avg_comments_per_view;avg_qualified_comment_rate;saturacao_interna
#ufsm;16;10796.5625;150.4375;619.875;23.894744904161556;0.5108735773580919;0.33269230769230773;alta
#silveira;5;33881.0;467.4;1178.25;32.99166674764723;0.4902451385871516;0.34833333333333333;alta
#ufsmdaquiparaomundo;4;37067.5;507.5;1284.0;39.35512980212817;0.5584220895447735;0.3229166666666667;alta
#souufsm;4;246.25;5.0;100.0;1.1559139784946237;0.05184331797235023;0.3263888888888889;alta
#extensãouniversitária;3;262.6666666666667;2.6666666666666665;;;;0.25;media
#silveiraufsm;2;52359.0;599.5;1413.5;37.519036166606895;0.4327550855366724;0.22916666666666666;media
#cinema;1;-1.0;1.0;14.0;0.0;0.07142857142857142;0.0;nicho
#conexoesquetransformam;1;390.0;8.0;;;;0.25;nicho
#conscienciaafricana;1;250.0;13.0;14.0;18.785714285714285;0.9285714285714286;0.1111111111111111;nicho
#abelhas;1;563.0;9.0;;;;0.2222222222222222;nicho
#agendacultural;1;-1.0;4.0;;;;0.75;nicho
#antigareitoria;1;312.0;0.0;;;;;nicho
#biodiversidade;1;563.0;9.0;;;;0.2222222222222222;nicho
#afederaldasaúde;1;11570.0;265.0;;;;0.5;nicho
#cão;1;50270.0;767.0;1329.0;38.402558314522196;0.5771256583897667;0.125;nicho
#diadaafrica;1;250.0;13.0;14.0;18.785714285714285;0.9285714285714286;0.1111111111111111;nicho
#diversidadecultural;1;250.0;13.0;14.0;18.785714285714285;0.9285714285714286;0.1111111111111111;nicho
#direitoshumanos;1;250.0;13.0;14.0;18.785714285714285;0.9285714285714286;0.1111111111111111;nicho
#doutoradoufsm;1;126.0;0.0;;;;;nicho
#editalaberto;1;126.0;0.0;;;;;nicho
#eleiçõesufsm2025;1;118.0;1.0;;;;1.0;nicho
#doutorado;1;279.0;1.0;;;;0.0;nicho
#especialização;1;279.0;1.0;;;;0.0;nicho
#espetáculos,;1;-1.0;4.0;;;;0.75;nicho
#eventos;1;-1.0;4.0;;;;0.75;nicho
#cultura;1;-1.0;4.0;;;;0.75;nicho
#culturagaúcha;1;86.0;0.0;;;;;nicho
#culturaufsm;1;312.0;0.0;;;;;nicho
#cães;1;43273.0;830.0;1025.0;43.02731707317073;0.8097560975609757;0.8333333333333334;nicho
#carijo38anos;1;86.0;0.0;;;;;nicho
#inglêsacadêmico;1;126.0;0.0;;;;;nicho
#guiadaextensão;1;390.0;8.0;;;;0.25;nicho
#festas;1;-1.0;4.0;;;;0.75;nicho
#fazendoarte;1;11723.0;246.0;861.0;13.901277584204413;0.2857142857142857;0.2;nicho
#extensãoufsm;1;390.0;8.0;;;;0.25;nicho
#internacionalização;1;126.0;0.0;;;;;nicho
#mobilidadeacadêmica;1;126.0;0.0;;;;;nicho
#mestrado;1;279.0;1.0;;;;0.0;nicho
#polinização;1;563.0;9.0;;;;0.2222222222222222;nicho
#posgraduacao;1;279.0;1.0;;;;0.0;nicho
#pre50anos;1;390.0;8.0;;;;0.25;nicho
#músicanativista;1;86.0;0.0;;;;;nicho
#odhufsm;1;250.0;13.0;14.0;18.785714285714285;0.9285714285714286;0.1111111111111111;nicho
#oportunidadeufsm;1;126.0;0.0;;;;;nicho
#orquestrasinfônicaufsm;1;86.0;0.0;;;;;nicho
#palmeiradamissões;1;86.0;0.0;;;;;nicho
#ruufsm;1;424.0;6.0;186.0;2.3118279569892475;0.03225806451612903;0.3333333333333333;nicho
#ru;1;9691.0;62.0;;;;0.25;nicho
#restauranteuniversitário;1;424.0;6.0;186.0;2.3118279569892475;0.03225806451612903;0.3333333333333333;nicho
#restauranteuniversitario;1;9691.0;62.0;;;;0.25;nicho
#reitoriaufsm;1;118.0;1.0;;;;1.0;nicho
#santamaria;1;-1.0;4.0;;;;0.75;nicho
#santamariars;1;-1.0;4.0;;;;0.75;nicho
#rádiosufsm;1;11723.0;246.0;861.0;13.901277584204413;0.2857142857142857;0.2;nicho
#silveirapodrao;1;54448.0;432.0;1498.0;36.63551401869159;0.2883845126835781;0.3333333333333333;nicho
#silveirapodrão;1;11570.0;265.0;;;;0.5;nicho
#toefl;1;126.0;0.0;;;;;nicho
#ufsmempalmeira;1;86.0;0.0;;;;;nicho
#ufsmnacomunidade;1;86.0;0.0;;;;;nicho
#universidadepública;1;390.0;8.0;;;;0.25;nicho
#vivaocampus;1;312.0;0.0;;;;;nicho
#zeloufsm;1;11723.0;246.0;861.0;13.901277584204413;0.2857142857142857;0.2;nicho
