legenda_post;coautores;num_comentarios;hashtags;comentarios_habilitados;num_likes;mencoes;nome_owner;timestamp;tipo;url;visualizacoes;duracao_video;localizacao;shortcode;post_timestamp;post_hour;post_weekday;post_period;hashtags_list;hashtags_list_norm;mentions_list;coauthors_list;has_hashtags;has_mentions;has_coauthors;has_location;hashtag_count;mention_count;coauthor_count;caption_word_count;caption_char_count;caption_emoji_count;caption_cta_count;has_cta;engagement_rate;comments_per_view;likes_per_view;interactions_total;retention_proxy;observed_comments;observed_replies;avg_reply_depth;max_reply_depth;isolated_comment_rate;qualified_comment_rate;question_comment_rate;avg_comment_delay_h;median_comment_delay_h;first_comment_delay_h;discussion_index;peak_comment_delay_h;sent_positivo_share;sent_neutro_share;sent_negativo_share;emotion_raiva_share;emotion_entusiasmo_share;emotion_duvida_share;emotion_neutra_share;unique_commenters;recurring_unique_commenters;community_index;recurring_comment_share;new_commenter_share;verified_commenter_rate;comments_rows_loaded;comments_coverage_ratio
"🎉 O Viva o Campus está de volta — agora na Antiga Reitoria! 🏛️✨

Neste sábado, 24 de maio, das 14h às 18h, o prédio da Antiga Reitoria abre suas portas para mais uma tarde de cultura, arte, conhecimento e integração com a comunidade!

Participe desse encontro entre conhecimento, cultura e comunidade na UFSM.
Teremos oficinas, exposições, música, atividades para todas as idades e muito mais!

📍 Local: Antiga Reitoria – UFSM (Rua Floriano Peixoto, 1184)
📅 Data: Sábado, 24/05
🕑 Horário: das 14h às 18h
🎨 Entrada gratuita

A Universidade é de todos. Vem com a gente viver o campus!

#VivaOCampus #UFSM #ExtensãoUniversitária #AntigaReitoria #CulturaUFSM";hubisufsm | ufsm.br | extensaoufsm;0;VivaOCampus | UFSM | ExtensãoUniversitária | AntigaReitoria | CulturaUFSM;True;312;;Complexo Multicultural Antiga Reitoria;2025-05-19 17:29:10+00:00;Sidecar;https://www.instagram.com/p/DJ1_MTEuA-i/;;;Antiga Reitoria Ufsm;DJ1_MTEuA-i;2025-05-19 14:29:10-03:00;14;segunda;tarde;['VivaOCampus', 'UFSM', 'ExtensãoUniversitária', 'AntigaReitoria', 'CulturaUFSM'];['#vivaocampus', '#ufsm', '#extensãouniversitária', '#antigareitoria', '#culturaufsm'];[];['hubisufsm', 'ufsm.br', 'extensaoufsm'];True;False;True;True;5;0;3;99;654;7;0;False;;;;312;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
"🎻🎹 Orquestra Sinfônica de Santa Maria se apresenta nesta terça (20) no 38º Carijo da Canção Gaúcha! 🎼

A UFSM estará presente em um dos maiores festivais de música nativista do RS! A Orquestra Sinfônica de Santa Maria sobe ao palco principal do Carijo nesta terça-feira, 20 de maio, às 22h, com um concerto especial e repertório nativista. 🎶

Com regência do maestro João Batista Sartor, a apresentação contará com os solistas Tiane Tambara (voz), Fernando Ávila (acordeon) e Daniel Morales (piano), docente aposentado dos cursos de Música da UFSM.

🎻🎹 A apresentação integra a programação artística do festival, que segue até o dia 25 de maio no Parque Municipal de Exposições de Palmeira das Missões.

#UFSM #UFSMemPalmeira #UFSMnaComunidade #Carijo38Anos #CulturaGaúcha #OrquestraSinfônicaUFSM #PalmeiradaMissões #MúsicaNativista #ExtensãoUniversitária";ufsm.br;0;UFSM | UFSMemPalmeira | UFSMnaComunidade | Carijo38Anos | CulturaGaúcha | OrquestraSinfônicaUFSM | PalmeiradaMissões | MúsicaNativista | ExtensãoUniversitária;True;86;;UFSM Palmeira das Missões;2025-05-19 14:07:38+00:00;Image;https://www.instagram.com/p/DJ1oIOktsNX/;;;Festival Carijo Da Canção Gaúcha;DJ1oIOktsNX;2025-05-19 11:07:38-03:00;11;segunda;manha;['UFSM', 'UFSMemPalmeira', 'UFSMnaComunidade', 'Carijo38Anos', 'CulturaGaúcha', 'OrquestraSinfônicaUFSM', 'PalmeiradaMissões', 'MúsicaNativista', 'ExtensãoUniversitária'];['#ufsm', '#ufsmempalmeira', '#ufsmnacomunidade', '#carijo38anos', '#culturagaúcha', '#orquestrasinfônicaufsm', '#palmeiradamissões', '#músicanativista', '#extensãouniversitária'];[];['ufsm.br'];True;False;True;True;9;0;1;122;855;6;0;False;;;;86;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
"Silveira em entrevista exclusiva para a UFSM, sobre sua recente fama a nível nacional! 🎤🐶

@silveirapodrao @zeloufsm 

🎤: @ellenschwade 

#ufsm #silveira #cães #ufsmdaquiparaomundo";zeloufsm | silveirapodrao;830;ufsm | silveira | cães | ufsmdaquiparaomundo;True;43273;silveirapodrao | zeloufsm | ellenschwade;UFSM;2025-05-19 23:27:17+00:00;Video;https://www.instagram.com/p/DJ2nlbTpv68/;1025.0;85.266;UFSM - Universidade Federal de Santa Maria;DJ2nlbTpv68;2025-05-19 20:27:17-03:00;20;segunda;noite;['ufsm', 'silveira', 'cães', 'ufsmdaquiparaomundo'];['#ufsm', '#silveira', '#cães', '#ufsmdaquiparaomundo'];['silveirapodrao', 'zeloufsm', 'ellenschwade'];['zeloufsm', 'silveirapodrao'];True;True;True;True;4;3;2;21;180;3;0;False;43.02731707317073;0.8097560975609757;42.21756097560976;44103;0.8097560975609757;6.0;0.0;0.0;0.0;1.0;0.8333333333333334;0.16666666666666666;567.9876388888889;222.3748611111111;166.4152777777778;0.0;1154.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;6.0;2.0;0.3333333333333333;0.3333333333333333;1.0;0.16666666666666666;6.0;0.007228915662650603
"20 de maio | Dia Mundial das Abelhas 🐝🌼

As abelhas desempenham um papel fundamental na preservação da biodiversidade. Aqui na UFSM, projetos de pesquisa e extensão desenvolvem estudos e ações voltadas à conservação desses polinizadores.

📚🐝 Quer saber mais sobre como a universidade contribui para a preservação das abelhas? 

📲 Acesse a matéria completa no site da UFSM! 

#SouUFSM #UFSM #Abelhas #Biodiversidade #Polinização";;9;SouUFSM | UFSM | Abelhas | Biodiversidade | Polinização;True;563;;UFSM;2025-05-20 23:00:00+00:00;Sidecar;https://www.instagram.com/p/DJ48NUpJ544/;;;UFSM - Universidade Federal de Santa Maria;DJ48NUpJ544;2025-05-20 20:00:00-03:00;20;terca;noite;['SouUFSM', 'UFSM', 'Abelhas', 'Biodiversidade', 'Polinização'];['#souufsm', '#ufsm', '#abelhas', '#biodiversidade', '#polinização'];[];[];True;False;False;True;5;0;0;60;427;5;1;True;;;;572;;9.0;2.0;0.1111111111111111;1.0;0.8888888888888888;0.2222222222222222;0.1111111111111111;3.8093827160493827;0.5275;0.012777777777777779;0.2222222222222222;0.0;0.0;1.0;0.0;0.0;0.0;0.1111111111111111;0.8888888888888888;8.0;0.0;0.0;0.0;1.0;0.0;9.0;1.0
"🐾 Conheça o Silveira, o doguinho da UFSM que hitou no Brasil!

Depois de quase 10 anos circulando pelo campus, conquistando um sofá só dele na Biblioteca Central e recebendo o título de Pró-Reitor de Assuntos Caninos, Silveira virou sensação nas redes!

Silveira é muito querido e bem cuidado, mas com idade avançada e problemas de saúde, está quase se “auposentando”. Ele precisa de um lar definitivo, seguro e cheio de carinho. Atualmente, por trás dessa estrela está o @zeloufsm, projeto ligado à @extensaoufsm, que cuida de mais de 80 animais (entre cães e gatos) com a ajuda de voluntários e doações. Como você pode ajudar o Zelo:

📦 Ofereça transporte, lar temporário ou alimentação
👕 Doe roupas e calçados em bom estado para o brechó @grifedozelo
🛍️ Compre produtos solidários na Cespol do Colégio Politécnico
🧡 Contribua com qualquer valor via Pix: fabiana@ufsm.br
🙋‍♀️ Seja voluntário(a)!

🔗 Saiba mais sobre o nosso ícone acessível e sobre o projeto na notícia publicada no nosso site, link na bio. 

🐶 Siga @silveirapodrao para acompanhar a rotina do doguinho mais carismático do Brasil e @projetozelo para apoiar e fortalecer a causa animal!

✍️ Materia: Mariana Henriques 
📸: Card por Ada Freitas e Sofhia Krening, fotos do acervo do @silveirapodrao";silveirapodrao | zeloufsm;669;;True;65667;zeloufsm, | extensaoufsm, | grifedozelo | ufsm.br | silveirapodrao | projetozelo;UFSM;2025-05-20 18:08:31+00:00;Sidecar;https://www.instagram.com/p/DJ4ofY6Jf56/;;;UFSM - Universidade Federal de Santa Maria;DJ4ofY6Jf56;2025-05-20 15:08:31-03:00;15;terca;tarde;[];[];['zeloufsm,', 'extensaoufsm,', 'grifedozelo', 'ufsm.br', 'silveirapodrao', 'projetozelo'];['silveirapodrao', 'zeloufsm'];False;True;True;True;0;6;2;201;1262;11;1;True;;;;66336;;9.0;0.0;0.0;0.0;1.0;0.2222222222222222;0.2222222222222222;364.19416666666666;236.29944444444445;147.28333333333333;0.0;1147.0;0.1111111111111111;0.8888888888888888;0.0;0.0;0.1111111111111111;0.2222222222222222;0.6666666666666666;9.0;1.0;0.1111111111111111;0.1111111111111111;1.0;0.0;9.0;0.013452914798206279
Silveira representando todas as diferentes emoções com o RU! 🍽️🐶🐾🐕 Ele do cantinho dele no hall de entrada do RU 1 consegue ver tudo e mais um pouco, fica ligado! 👀 #RU #UFSM #RestauranteUniversitario #Silveira;ufsm.br | silveirapodrao | zeloufsm;62;RU | UFSM | RestauranteUniversitario | Silveira;True;9691;;Restaurante Universitário UFSM;2025-05-20 19:27:58+00:00;Sidecar;https://www.instagram.com/p/DJ4xlSdy-3m/;;;Restaurante Universitário UFSM;DJ4xlSdy-3m;2025-05-20 16:27:58-03:00;16;terca;tarde;['RU', 'UFSM', 'RestauranteUniversitario', 'Silveira'];['#ru', '#ufsm', '#restauranteuniversitario', '#silveira'];[];['ufsm.br', 'silveirapodrao', 'zeloufsm'];True;False;True;True;4;0;3;33;210;5;0;False;;;;9753;;8.0;0.0;0.0;0.0;1.0;0.25;0.0;90.74475694444445;78.02638888888889;25.850833333333334;0.0;206.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0;1.0;0.0;8.0;0.12903225806451613
"PRÓ-REITOR DE ASSUNTOS CANINOS NA MÍDIA 🐶🌐

No início deste semana, Silveira, o mascote da UFSM, viralizou ao redor do país devido ao seu estilo de vida. Seja deitado de barriga para cima ou rebolando por aí, o nosso querido cãozinho age sempre de maneira dócil e ama viver ao lado dos estudantes. 

Veja um pouco da rotina do nosso Silveira! 🎬📺";ufsm.br | silveirapodrao | zeloufsm;254;;True;17401;;TV Campus UFSM;2025-05-20 21:41:24+00:00;Video;https://www.instagram.com/p/DJ5AkVwJLXy/;327.0;129.966;Restaurante Universitário UFSM;DJ5AkVwJLXy;2025-05-20 18:41:24-03:00;18;terca;noite;[];[];[];['ufsm.br', 'silveirapodrao', 'zeloufsm'];False;False;True;True;0;0;3;61;345;4;0;False;53.99082568807339;0.7767584097859327;53.21406727828746;17655;0.7767584097859327;10.0;0.0;0.0;0.0;1.0;0.3;0.0;259.9321388888889;97.68652777777777;86.73;0.0;889.0;0.3;0.7;0.0;0.0;0.2;0.0;0.8;9.0;2.0;0.2222222222222222;0.3;1.0;0.0;10.0;0.03937007874015748
"Sr. Silveira Podrão foi oficialmente empossado como Pró-reitor de Assuntos Caninos hoje, que momento! 🐕✍️

@silveirapodrao @zeloufsm @gabinetedoreitorufsm 

#ufsm #ufsmdaquiparaomundo #cão #silveiraufsm #silveira";extensaoufsm | zeloufsm | silveirapodrao | gabinetereitoriaufsm;767;ufsm | ufsmdaquiparaomundo | cão | silveiraufsm | silveira;True;50270;silveirapodrao | zeloufsm | gabinetedoreitorufsm;UFSM;2025-05-20 20:22:15+00:00;Video;https://www.instagram.com/p/DJ5J9TCJBVJ/;1329.0;34.566;UFSM - Universidade Federal de Santa Maria;DJ5J9TCJBVJ;2025-05-20 17:22:15-03:00;17;terca;tarde;['ufsm', 'ufsmdaquiparaomundo', 'cão', 'silveiraufsm', 'silveira'];['#ufsm', '#ufsmdaquiparaomundo', '#cão', '#silveiraufsm', '#silveira'];['silveirapodrao', 'zeloufsm', 'gabinetedoreitorufsm'];['extensaoufsm', 'zeloufsm', 'silveirapodrao', 'gabinetereitoriaufsm'];True;True;True;True;5;3;4;23;212;2;0;False;38.402558314522196;0.5771256583897667;37.82543265613243;51037;0.5771256583897667;8.0;0.0;0.0;0.0;1.0;0.125;0.125;854.9450694444445;715.1838888888889;291.515;0.0;1368.0;0.0;1.0;0.0;0.0;0.0;0.125;0.875;8.0;1.0;0.125;0.125;1.0;0.125;8.0;0.010430247718383311
"📢 Ontem, a UFSM realizou a transmissão oficial de homologação das chapas e início da campanha eleitoral para a Reitoria.

▶️ A gravação da transmissão segue disponível no canal oficial da UFSM e também pode ser encontrada no nosso site, no link da bio. 

#UFSM #EleiçõesUFSM2025 #ReitoriaUFSM";;1;UFSM | EleiçõesUFSM2025 | ReitoriaUFSM;True;118;;UFSM;2025-05-21 15:00:00+00:00;Image;https://www.instagram.com/p/DJ630KnRcyp/;;;UFSM - Universidade Federal de Santa Maria;DJ630KnRcyp;2025-05-21 12:00:00-03:00;12;quarta;tarde;['UFSM', 'EleiçõesUFSM2025', 'ReitoriaUFSM'];['#ufsm', '#eleiçõesufsm2025', '#reitoriaufsm'];[];[];True;False;False;True;3;0;0;45;292;1;0;False;;;;119;;1.0;0.0;0.0;0.0;1.0;1.0;1.0;3.5880555555555556;3.5880555555555556;3.5880555555555556;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0
"📢 Inscrições abertas para a 3ª janela da pós-graduação UFSM!

Estão abertas, de 20/05 a 16/06, as inscrições da 3ª janela de ingresso nos cursos de pós-graduação da UFSM!

📚 São 1.110 vagas em 61 cursos:
✅ 23 de doutorado
✅ 37 de mestrado
✅ 1 de especialização

A inscrição é gratuita e feita pelo Sistema Online de Inscrição, conforme o edital do curso escolhido.

📌 Confira o edital geral (Nº 065/2024 – PRPGP) e os editais específicos com todas as informações sobre critérios de seleção, documentos exigidos e linhas de pesquisa. 

🔗Você encontra mais informações no nosso site, link na bio!

#ufsm #ufsmdaquiparaomundo #posgraduacao #mestrado #doutorado #especialização";prpgpufsm;1;ufsm | ufsmdaquiparaomundo | posgraduacao | mestrado | doutorado | especialização;True;279;;UFSM;2025-05-21 13:40:33+00:00;Image;https://www.instagram.com/p/DJ6unk6RCfx/;;;UFSM - Universidade Federal de Santa Maria;DJ6unk6RCfx;2025-05-21 10:40:33-03:00;10;quarta;manha;['ufsm', 'ufsmdaquiparaomundo', 'posgraduacao', 'mestrado', 'doutorado', 'especialização'];['#ufsm', '#ufsmdaquiparaomundo', '#posgraduacao', '#mestrado', '#doutorado', '#especialização'];[];['prpgpufsm'];True;False;True;True;6;0;1;107;673;7;0;False;;;;280;;1.0;0.0;0.0;0.0;1.0;0.0;0.0;324.2525;324.2525;324.2525;0.0;324.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
