post_hour;posts;avg_likes;avg_comments;avg_views;avg_engagement_rate;avg_qualified_comment_rate
9;1;5305.0;163.0;;;0.0
10;2;204.0;0.5;87.0;1.4827586206896552;0.0
11;5;398.8;8.6;109.0;20.202788978494624;0.5
12;4;3022.5;66.0;437.5;16.34349593495935;0.5152777777777777
14;1;312.0;0.0;;;
15;2;38618.5;467.0;;;0.3611111111111111
16;3;3735.6666666666665;40.333333333333336;;;0.3
17;4;18824.5;307.25;515.75;18.645646610979355;0.17708333333333331
18;3;23949.333333333332;231.0;613.0;30.35163704511214;0.2587301587301587
20;2;21918.0;419.5;1025.0;43.02731707317073;0.5277777777777778
