owner_username_norm;comentarios;posts_distintos;comentarios_qualificados;taxa_perguntas
dupladedoismartinmabel;4;1;0;0.0
ufsmpm;4;1;0;0.0
djarts_8;3;2;0;0.0
albummbel;2;2;0;0.0
ateliefogo;2;2;0;0.0
elisangelapessoa46;2;2;2;0.0
geanefedrigo;2;2;0;0.0
gislaine7166;2;2;0;0.0
radiosufsm;2;2;2;0.0
claudia_m_ferrari;2;1;1;0.5
nelci.lourenco.1612;2;1;0;0.0
robertakt;2;1;1;0.5
_.jeds;1;1;0;0.0
_otiiago_;1;1;0;0.0
a_myreya_;1;1;0;0.0
aires.adriana;1;1;0;0.0
ajuliabicalho;1;1;1;0.0
alcionemouracarvalho;1;1;0;0.0
alesssndro.blues;1;1;0;0.0
alexandrecarvalhorodrigues1975;1;1;0;0.0
alinedalcimdossantos;1;1;0;1.0
alineecotur;1;1;1;0.0
amandapicoli_;1;1;1;0.0
anagrxavier;1;1;0;0.0
anapaulalopes2022;1;1;0;0.0
andreiaguasso;1;1;0;0.0
annelacerdaremax;1;1;1;0.0
bernardo_fischer2004;1;1;0;0.0
berrettapedro;1;1;1;0.0
biancamanfrin;1;1;1;0.0
bibianasilveira.art;1;1;1;0.0
bina.bina._;1;1;1;0.0
biologicas.ufsm.pm;1;1;0;0.0
carlaveiga5;1;1;0;0.0
carolfoscolo;1;1;1;0.0
castracaouern;1;1;0;0.0
cineclubedaboca;1;1;0;0.0
clarissaqueiroz31;1;1;0;0.0
claudiareginabozza;1;1;0;0.0
claudiarosanemen;1;1;0;0.0
clicia__batista;1;1;0;0.0
clis.1;1;1;0;0.0
cosaiufsm;1;1;0;0.0
costakatiabarbosa;1;1;0;0.0
cris54687;1;1;1;0.0
cristhoffer_antunes;1;1;0;0.0
deboraberly;1;1;0;0.0
diule_alves___;1;1;1;0.0
dy_caabral;1;1;0;0.0
eduardakenner;1;1;0;0.0
elen.mendonca.silva;1;1;0;0.0
elicosta.68;1;1;0;0.0
eltonz_;1;1;1;1.0
everton.rosa85;1;1;0;0.0
festivalarmazem;1;1;0;0.0
ffmeliponario;1;1;0;0.0
fran_azevedo2009;1;1;0;0.0
fulvia_macnogsabino;1;1;0;0.0
gabiamendess;1;1;0;0.0
gabrielaaragaos;1;1;0;0.0
gabrielrtt_;1;1;0;1.0
giovannabl;1;1;0;0.0
guirubenich;1;1;0;0.0
igorxpreto;1;1;1;0.0
isadora_berta;1;1;0;1.0
jacielesell;1;1;0;0.0
jakedasneves;1;1;0;0.0
jefferson.k.pinheiro;1;1;1;0.0
joaovcarvalho10;1;1;0;0.0
joseluzardocruzbrum;1;1;0;0.0
julianacorreatl;1;1;0;0.0
kamilakroliveira;1;1;0;0.0
kaue_escobar__;1;1;0;0.0
kharlarabelo;1;1;0;0.0
laurnvs;1;1;0;0.0
limarosangeladacosta;1;1;0;0.0
lipaojs;1;1;1;1.0
lisiane_ribeiro_adv;1;1;0;0.0
livschrm;1;1;0;0.0
lolo_tres_chic;1;1;0;0.0
luisa_mantelle;1;1;0;0.0
luisa_minato;1;1;0;0.0
luizasomenteluiza;1;1;1;0.0
m_silvia_de_oliveira;1;1;1;0.0
madjiguene_rangel;1;1;0;0.0
mafeliciasouza;1;1;1;0.0
margarita_nildanilda;1;1;0;0.0
mariadagraca.cruz;1;1;0;0.0
mariaisoel;1;1;0;0.0
mariliavero;1;1;1;1.0
marta.g.o.s;1;1;1;0.0
mathias_ilnicki;1;1;0;0.0
mell_caramelo_carioca;1;1;1;0.0
miriamgs.gs;1;1;1;0.0
mocellinjessica;1;1;0;0.0
moicosaga;1;1;0;0.0
mytwolovesusa;1;1;0;0.0
namaste.com_;1;1;1;0.0
nanicamartins;1;1;0;0.0
nataliapenha_;1;1;1;0.0
ninadalmaso;1;1;1;1.0
odouglasjardim;1;1;0;0.0
patinhasdoinstituto;1;1;1;0.0
patriciacurri.paticurri;1;1;1;1.0
pedro.refe;1;1;1;0.0
pedropmoro;1;1;0;0.0
perdigones3;1;1;0;0.0
poliperros;1;1;0;0.0
positivamentemorbido;1;1;1;1.0
prado.zaida;1;1;0;0.0
proficiencia.ufj;1;1;0;0.0
progradufsm;1;1;1;0.0
projetonaufragos;1;1;1;0.0
rafalbell;1;1;0;0.0
ratonolixo;1;1;0;1.0
rosa_carvalho1rosa_carvalho;1;1;1;0.0
rosescobarvalen;1;1;0;0.0
sammy_filiman;1;1;0;1.0
samsanram123;1;1;0;0.0
silmanfre25;1;1;0;1.0
simple_gastronomia_saudavel_;1;1;0;0.0
sofonias_lopes;1;1;0;0.0
stefanellomarianna;1;1;1;0.0
tortacombrocolis;1;1;1;0.0
vanessasilber;1;1;1;0.0
vera.b.franco.7;1;1;0;0.0
victor_souzas1;1;1;0;0.0
yasmeirlles;1;1;0;0.0
zorrobarcelos;1;1;1;0.0
